--dc=512:2:32, bfs_matrix/bfs_matrix, 260213
--dc=256:4:32, bfs_matrix/bfs_matrix, 259363
--dc=128:8:32, bfs_matrix/bfs_matrix, 259213
--dc=64:16:32, bfs_matrix/bfs_matrix, 258416
--dc=32:32:32, bfs_matrix/bfs_matrix, 258235
--dc=16:64:32, bfs_matrix/bfs_matrix, 258139
--dc=2048:1:32, bfs_matrix/bfs_matrix, 258395
--dc=1024:2:32, bfs_matrix/bfs_matrix, 256628
--dc=512:4:32, bfs_matrix/bfs_matrix, 256840
--dc=256:8:32, bfs_matrix/bfs_matrix, 256784
--dc=128:16:32, bfs_matrix/bfs_matrix, 256722
--dc=64:32:32, bfs_matrix/bfs_matrix, 256642
--dc=32:64:32, bfs_matrix/bfs_matrix, 256549
--dc=4096:1:32, bfs_matrix/bfs_matrix, 257401
--dc=2048:2:32, bfs_matrix/bfs_matrix, 255502
--dc=1024:4:32, bfs_matrix/bfs_matrix, 255463
--dc=512:8:32, bfs_matrix/bfs_matrix, 255479
--dc=256:16:32, bfs_matrix/bfs_matrix, 255496
--dc=128:32:32, bfs_matrix/bfs_matrix, 255536
--dc=64:64:32, bfs_matrix/bfs_matrix, 255472
--dc=8192:1:32, bfs_matrix/bfs_matrix, 256358
--dc=4096:2:32, bfs_matrix/bfs_matrix, 254390
--dc=2048:4:32, bfs_matrix/bfs_matrix, 254315
--dc=1024:8:32, bfs_matrix/bfs_matrix, 254241
--dc=512:16:32, bfs_matrix/bfs_matrix, 254250
--dc=256:32:32, bfs_matrix/bfs_matrix, 254294
--dc=128:64:32, bfs_matrix/bfs_matrix, 254340
--dc=16384:1:32, bfs_matrix/bfs_matrix, 253753
--dc=8192:2:32, bfs_matrix/bfs_matrix, 251970
--dc=4096:4:32, bfs_matrix/bfs_matrix, 251906
--dc=2048:8:32, bfs_matrix/bfs_matrix, 251962
--dc=1024:16:32, bfs_matrix/bfs_matrix, 251900
--dc=512:32:32, bfs_matrix/bfs_matrix, 251878
--dc=256:64:32, bfs_matrix/bfs_matrix, 251879
--dc=32768:1:32, bfs_matrix/bfs_matrix, 246041
--dc=16384:2:32, bfs_matrix/bfs_matrix, 244417
--dc=8192:4:32, bfs_matrix/bfs_matrix, 244343
--dc=4096:8:32, bfs_matrix/bfs_matrix, 244437
--dc=2048:16:32, bfs_matrix/bfs_matrix, 244494
--dc=1024:32:32, bfs_matrix/bfs_matrix, 244409
--dc=512:64:32, bfs_matrix/bfs_matrix, 244388
--dc=65536:1:32, bfs_matrix/bfs_matrix, 220290
--dc=32768:2:32, bfs_matrix/bfs_matrix, 219490
--dc=16384:4:32, bfs_matrix/bfs_matrix, 220850
--dc=8192:8:32, bfs_matrix/bfs_matrix, 221472
--dc=4096:16:32, bfs_matrix/bfs_matrix, 222246
--dc=2048:32:32, bfs_matrix/bfs_matrix, 222022
--dc=1024:64:32, bfs_matrix/bfs_matrix, 222123
--dc=256:1:16, bfs_pointer/bfs_pointer, 9941
--dc=128:2:16, bfs_pointer/bfs_pointer, 10030
--dc=64:4:16, bfs_pointer/bfs_pointer, 10039
--dc=32:8:16, bfs_pointer/bfs_pointer, 9979
--dc=16:16:16, bfs_pointer/bfs_pointer, 10001
--dc=8:32:16, bfs_pointer/bfs_pointer, 10046
--dc=4:64:16, bfs_pointer/bfs_pointer, 10106
--dc=512:1:16, bfs_pointer/bfs_pointer, 8894
--dc=256:2:16, bfs_pointer/bfs_pointer, 8858
--dc=128:4:16, bfs_pointer/bfs_pointer, 8923
--dc=64:8:16, bfs_pointer/bfs_pointer, 8980
--dc=32:16:16, bfs_pointer/bfs_pointer, 8963
--dc=16:32:16, bfs_pointer/bfs_pointer, 9003
--dc=8:64:16, bfs_pointer/bfs_pointer, 9093
--dc=1024:1:16, bfs_pointer/bfs_pointer, 7683
--dc=512:2:16, bfs_pointer/bfs_pointer, 7762
--dc=256:4:16, bfs_pointer/bfs_pointer, 7847
--dc=128:8:16, bfs_pointer/bfs_pointer, 7879
--dc=64:16:16, bfs_pointer/bfs_pointer, 7960
--dc=32:32:16, bfs_pointer/bfs_pointer, 7921
--dc=16:64:16, bfs_pointer/bfs_pointer, 7991
--dc=2048:1:16, bfs_pointer/bfs_pointer, 6968
--dc=1024:2:16, bfs_pointer/bfs_pointer, 6738
--dc=512:4:16, bfs_pointer/bfs_pointer, 6884
--dc=256:8:16, bfs_pointer/bfs_pointer, 6812
--dc=128:16:16, bfs_pointer/bfs_pointer, 6944
--dc=64:32:16, bfs_pointer/bfs_pointer, 6932
--dc=32:64:16, bfs_pointer/bfs_pointer, 7043
--dc=4096:1:16, bfs_pointer/bfs_pointer, 5097
--dc=2048:2:16, bfs_pointer/bfs_pointer, 5898
--dc=1024:4:16, bfs_pointer/bfs_pointer, 5948
--dc=512:8:16, bfs_pointer/bfs_pointer, 6062
